index,cui,en,en_id,isa,same_as,Usagi_en,Usagi_match_score
1776,C0031117,Peripheral Neuropathy,en_1776,None,None,Peripheral nerve disease (Usagi match score=1),1
1777,C0031139,Peritoneal Dialysis,en_1777,None,None,Peritoneal Dialysis (Usagi match score=1),1
1778,C0031154,Peritonitis,en_1778,None,None,Peritonitis (Usagi match score=1),1
1779,C0031164,Permeability,en_1779,None,None,Perineurial permeability (Usagi match score=0.786883235),0.786883235
1780,C0031206,Personal Satisfaction,en_1780,None,None,Personal wellbeing status (Usagi match score=1),1
1781,C0031228,"Personnel, Hospital",en_1781,None,None,Personnel Organization (Usagi match score=0.643405616),0.643405616
1782,C0031237,Pertussis Vaccine,en_1782,None,None,pertussis vaccine (Usagi match score=1),1
1783,C0031264,Petroleum,en_1783,None,None,Petroleum (Usagi match score=1),1
1784,C0031307,Phagocytes,en_1784,None,None,Phagocytic cell (Usagi match score=0.966610014),0.966610014
1785,C0031308,Phagocytosis,en_1785,None,None,Phagocytosis (Usagi match score=1),1
1786,C0031323,pharmacist,en_1786,None,None,Pharmacist (Usagi match score=1),1
1787,C0031327,Drug Kinetics,en_1787,None,None,Iron kinetics study (Usagi match score=0.584154546),0.584154546
1788,C0031392,Phenelzine,en_1788,None,None,phenelzine (Usagi match score=1),1
1789,C0031404,Phenformin,en_1789,None,None,Phenformin (Usagi match score=1),1
1790,C0031434,phenothiazine,en_1790,None,None,Phenothiazine in urine (Usagi match score=0.811486661),0.811486661
1791,C0031453,Phenylalanine,en_1791,None,None,Phenylalanine (Usagi match score=1),1
1792,C0031542,Phlebitis,en_1792,None,None,Phlebitis (Usagi match score=1),1
1793,C0031572,"Phobia, Social",en_1793,None,None,Social Phobia (Usagi match score=0.800815284),0.800815284
1794,C0031614,Phosphatidyl glycerol,en_1794,None,None,Phosphatidyl glycerol (Usagi match score=1),1
1795,C0031638,Phosphodiesterase Inhibitors,en_1795,None,None,Phosphodiesterase inhibitor (Usagi match score=0.958307683),0.958307683
1796,C0031667,Phospholipase A2,en_1796,None,None,Deficiency of phospholipase A>2< (Usagi match score=0.725056231),0.725056231
1797,C0031676,Phospholipids,en_1797,None,None,Phospholipid (Usagi match score=1),1
1798,C0031694,Phosphorescence,en_1798,None,None,Fluorescence microscopy (Usagi match score=0.606634796),0.606634796
1799,C0031705,Phosphorus,en_1799,None,None,Phosphorus (Usagi match score=1),1
1800,C0031715,Phosphorylation,en_1800,None,None,Phosphorylation (Usagi match score=1),1
1801,C0031727,Phosphotransferases,en_1801,None,None,SELENOI (selenoprotein I) gene variant measurement (Usagi match score=0.756593883),0.756593883
1802,C0031740,Photochemotherapy,en_1802,None,None,Photochemotherapy (Usagi match score=1),1
1803,C0031764,Photosynthesis,en_1803,None,None,Photosynthesis (Usagi match score=1),1
1804,C0031809,Physical Examination,en_1804,None,None,Physical examination (Usagi match score=1),1
1805,C0031831,Physicians,en_1805,None,None,Physicians (Usagi match score=1),1
1806,C0031843,physiological aspects,en_1806,None,None,Physiologic (Usagi match score=0.714305639),0.714305639
1807,C0031845,Physiological Processes,en_1807,None,None,Physiological process (Usagi match score=0.9275828),0.9275828
1808,C0031866,Phytosterols,en_1808,None,None,phytosterols (Usagi match score=1),1
1809,C0031911,Pigmentation,en_1809,None,None,Pigmentation (Usagi match score=1),1
1810,C0031916,Pigment,en_1810,None,None,Pigment (Usagi match score=1),1
1811,C0031939,Pineal gland,en_1811,None,None,Pineal structure (Usagi match score=1),1
1812,C0031944,Pinnipedia,en_1812,None,None,Caniformia (Usagi match score=1),1
1813,C0032042,Placebos,en_1813,None,None,Placebo (Usagi match score=0.904824615),0.904824615
1814,C0032064,Plague,en_1814,None,None,Plague (Usagi match score=1),1
1815,C0032074,Cognitive function: planning,en_1815,None,None,Cognitive function: planning (Usagi match score=1),1
1816,C0032105,Plasma,en_1816,None,None,Plasma (Usagi match score=1),1
1817,C0032112,Plasma Cells,en_1817,None,None,Plasma Cells (Usagi match score=1),1
1818,C0032113,Plasma Exchange,en_1818,None,None,Plasma exchange (Usagi match score=1),1
1819,C0032120,Plasma Proteins,en_1819,None,None,Plasma protein (Usagi match score=0.952696979),0.952696979
1820,C0032134,Plasmapheresis,en_1820,None,None,Plasmapheresis (Usagi match score=1),1
1821,C0032136,Plasmids,en_1821,None,None,Plasmid (Usagi match score=0.810888112),0.810888112
1822,C0032140,Plasminogen,en_1822,None,None,plasminogen (Usagi match score=1),1
1823,C0032143,Alteplase,en_1823,None,None,alteplase (Usagi match score=1),1
1824,C0032144,Plasminogen Activator,en_1824,None,None,Plasminogen activator (Usagi match score=1),1
1825,C0032145,Plasminogen Inactivators,en_1825,None,None,Plasminogen activator (Usagi match score=0.838587761),0.838587761
1826,C0032150,Plasmodium falciparum,en_1826,None,None,Plasmodium falciparum (Usagi match score=1),1
1827,C0032173,Platelet Activation,en_1827,isa(infered) cell activation,None,Platelet activation (Usagi match score=1),1
1828,C0032176,Platelet aggregation,en_1828,None,None,Platelet aggregation (Usagi match score=1),1
1829,C0032200,Platelet-Derived Growth Factor,en_1829,None,None,PDGFB (platelet derived growth factor subunit B) gene variant measurement (Usagi match score=0.831942141),0.831942141
1830,C0032214,Play,en_1830,None,None,Lay (Usagi match score=0.787304342),0.787304342
1831,C0032216,Play Therapy,en_1831,None,None,Play therapy (Usagi match score=1),1
1832,C0032227,Pleural effusion disorder,en_1832,None,None,Pleural effusion (Usagi match score=0.871064782),0.871064782
1833,C0032285,Pneumonia,en_1833,None,None,Pneumonia (Usagi match score=1),1
1834,C0032290,Aspiration Pneumonia,en_1834,None,None,Aspiration pneumonia (Usagi match score=1),1
1835,C0032300,"Pneumonia, Pneumococcal",en_1835,None,None,Pneumococcal pneumonia (Usagi match score=0.897783995),0.897783995
1836,C0032308,"Pneumonia, Staphylococcal",en_1836,None,None,Staphylococcal pneumonia (Usagi match score=0.874097407),0.874097407
1837,C0032310,"Pneumonia, Viral",en_1837,None,None,Viral pneumonia (Usagi match score=0.75470382),0.75470382
1838,C0032326,Pneumothorax,en_1838,None,None,Pneumothorax (Usagi match score=1),1
1839,C0032343,Poisoning,en_1839,None,None,Poisoning (Usagi match score=1),1
1840,C0032346,Poisons,en_1840,None,None,Toxic substance (Usagi match score=0.885763705),0.885763705
1841,C0032371,Poliomyelitis,en_1841,None,None,Acute poliomyelitis (Usagi match score=1),1
1842,C0032374,Poliovirus Vaccines,en_1842,None,None,"poliovirus vaccine, inactivated (Usagi match score=0.783226192)",0.783226192
1843,C0032375,"Poliovirus Vaccine, Oral",en_1843,None,None,"poliovirus vaccine, inactivated (Usagi match score=0.827588499)",0.827588499
1844,C0032405,Poly(ADP-ribose) Polymerases,en_1844,None,None,PARP1 (poly(ADP-ribose) polymerase 1) gene variant measurement (Usagi match score=0.767614126),0.767614126
1845,C0032433,Polyamines,en_1845,None,None,Polyamine (Usagi match score=0.963340223),0.963340223
1846,C0032463,Polycythemia Vera,en_1846,None,None,Polycythemia vera (Usagi match score=1),1
1847,C0032483,Polyethylene Glycols,en_1847,None,None,polyethylene glycols (Usagi match score=1),1
1848,C0032521,Polymers,en_1848,None,None,Polymer (Usagi match score=0.891466081),0.891466081
1849,C0032529,"Polymorphism, Genetic",en_1849,None,None,Genetic polymorphism (Usagi match score=0.773709536),0.773709536
1850,C0032594,Polysaccharides,en_1850,None,None,Polysaccharide (Usagi match score=0.967843115),0.967843115
1851,C0032601,Polysorbate 80,en_1851,None,None,polysorbate 80 (Usagi match score=1),1
1852,C0032708,Porphyrias,en_1852,None,None,Porphyria (Usagi match score=0.900694847),0.900694847
1853,C0032712,Porphyrins,en_1853,None,None,"Porphyrin, quantitative measurement, urine (Usagi match score=0.88084197)",0.88084197
1854,C0032740,Positive-Pressure Respiration,en_1854,None,None,Negative-pressure manometer (Usagi match score=0.613713026),0.613713026
1855,C0032741,Positive Reinforcement,en_1855,None,None,Positive reinforcement (Usagi match score=1),1
1856,C0032743,Positron-Emission Tomography,en_1856,None,None,Positron emission tomography (Usagi match score=0.738482177),0.738482177
1857,C0032782,Postnatal Care,en_1857,None,None,Postpartum care (Usagi match score=1),1
1858,C0032787,Postoperative Complications,en_1858,None,None,Postoperative complication (Usagi match score=0.963005841),0.963005841
1859,C0032792,Postoperative shock NOS,en_1859,None,None,Postoperative shock (Usagi match score=0.833626866),0.833626866
1860,C0032804,Postpartum Women,en_1860,None,None,Postpartum (Usagi match score=0.788661242),0.788661242
1861,C0032807,Postphlebitic Syndrome,en_1861,None,None,Postthrombotic syndrome (Usagi match score=1),1
1862,C0032818,Posture,en_1862,None,None,Posture (Usagi match score=1),1
1863,C0032856,Povidone,en_1863,None,None,povidone (Usagi match score=1),1
1864,C0032857,Povidone-Iodine,en_1864,None,same_as (infered) Ethanol,povidone-iodine (Usagi match score=1),1
1865,C0032911,Praziquantel,en_1865,None,None,praziquantel (Usagi match score=1),1
1866,C0032912,Prazosin,en_1866,None,None,prazosin (Usagi match score=1),1
1867,C0032914,Pre-Eclampsia,en_1867,None,None,Pre-eclampsia (Usagi match score=1),1
1868,C0032923,Prealbumin,en_1868,None,None,Prealbumin (Usagi match score=1),1
1869,C0032931,Precipitation,en_1869,None,None,Precipitation (Usagi match score=1),1
1870,C0032950,prednisolone,en_1870,None,None,prednisolone (Usagi match score=1),1
1871,C0032952,Prednisone,en_1871,None,None,prednisone (Usagi match score=1),1
1872,C0032961,Pregnancy,en_1872,None,None,Pregnancy (Usagi match score=1),1
1873,C0032962,Pregnancy Complications,en_1873,None,None,Pregnancy complication (Usagi match score=0.972630799),0.972630799
1874,C0032972,Pregnancy Outcome,en_1874,None,None,Pregnancy outcome related to illness or condition (Usagi match score=1),1
1875,C0032987,"Pregnancy, Ectopic",en_1875,None,None,Pregnancy (Usagi match score=0.713920951),0.713920951
1876,C0033011,Pregnant Women,en_1876,None,None,Pregnant women (Usagi match score=1),1
1877,C0033023,Prejudice,en_1877,None,None,Prejudice (Usagi match score=1),1
1878,C0033052,Prenatal care,en_1878,None,None,Antenatal care (Usagi match score=1),1
1879,C0033053,Prenatal Diagnosis,en_1879,None,None,Prenatal diagnosis (Usagi match score=1),1
1880,C0033080,prescription procedure,en_1880,None,None,Prescription (Usagi match score=0.849657834),0.849657834
1881,C0033081,"Prescriptions, Drug",en_1881,None,None,Prescription of drug (Usagi match score=0.773555219),0.773555219
1882,C0033095,Pressure- physical agent,en_1882,None,None,Pressure - physical agent (Usagi match score=0.725333869),0.725333869
1883,C0033131,Primary Care Physicians,en_1883,None,None,Primary care Physician Note (Usagi match score=0.8445068),0.8445068
1884,C0033137,Primary Health Care,en_1884,None,None,Primary health condition (Usagi match score=0.881279826),0.881279826
1885,C0033141,"Cardiomyopathies, Primary",en_1885,None,None,Primary cardiomyopathy (Usagi match score=0.779259205),0.779259205
1886,C0033144,Primary Prevention,en_1886,None,None,Primary prevention (Usagi match score=1),1
1887,C0033147,Primates,en_1887,None,None,Order Primates (Usagi match score=0.912549794),0.912549794
1888,C0033164,Prions,en_1888,None,None,Rions (Usagi match score=0.846316814),0.846316814
1889,C0033209,Probenecid,en_1889,None,None,probenecid (Usagi match score=1),1
1890,C0033213,Problem,en_1890,None,None,Problem (Usagi match score=1),1
1891,C0033228,Fenofibrate,en_1891,None,None,fenofibrate (Usagi match score=1),1
1892,C0033300,Progeria,en_1892,None,None,Hutchinson-Gilford syndrome (Usagi match score=1),1
1893,C0033308,Progesterone,en_1893,None,None,progesterone (Usagi match score=1),1
1894,C0033325,Forecast of outcome,en_1894,None,None,Determination of prognosis (Usagi match score=1),1
1895,C0033333,Program Development,en_1895,None,None,Program development (Usagi match score=1),1
1896,C0033371,Prolactin,en_1896,None,None,prolactin (Usagi match score=1),1
1897,C0033384,Procollagen-Proline Dioxygenase,en_1897,None,None,Oxygenase (Usagi match score=0.560554862),0.560554862
1898,C0033487,Propofol,en_1898,None,None,propofol (Usagi match score=1),1
1899,C0033488,Propolis,en_1899,None,None,Propolis (Usagi match score=1),1
1900,C0033497,Propranolol,en_1900,None,None,propranolol (Usagi match score=1),1
1901,C0033551,Prostaglandin-Endoperoxide Synthase,en_1901,None,None,Cyclooxygenase inhibitor (Usagi match score=0.861985147),0.861985147
1902,C0033554,Prostaglandins,en_1902,None,None,Injection of prostaglandin (Usagi match score=0.780549228),0.780549228
1903,C0033567,Epoprostenol,en_1903,None,None,epoprostenol (Usagi match score=1),1
1904,C0033568,"Prostaglandins, Synthetic",en_1904,None,None,"Prostaglandins, total measurement (Usagi match score=0.602487922)",0.602487922
1905,C0033607,Protease Inhibitor,en_1905,None,None,Protease inhibitor (Usagi match score=1),1
1906,C0033613,Protective Agents,en_1906,None,None,Ineffective protection (Usagi match score=0.589924932),0.589924932
1907,C0033618,Protein Binding,en_1907,None,None,Protein binding (Usagi match score=1),1
1908,C0033621,Protein C,en_1908,None,None,protein C (Usagi match score=1),1
1909,C0033640,PROTEIN KINASE,en_1909,None,None,Protein kinase measurement (Usagi match score=0.806388736),0.806388736
1910,C0033666,"Protein Processing, Post-Translational",en_1910,None,None,Post-translational genetic protein processing (Usagi match score=0.828091264),0.828091264
1911,C0033679,Transglutaminases,en_1911,None,None,Serum tissue transglutaminase level (Usagi match score=0.805101871),0.805101871
1912,C0033684,Proteins,en_1912,None,None,Protein (Usagi match score=0.898372471),0.898372471
1913,C0033687,Proteinuria,en_1913,None,None,Proteinuria (Usagi match score=1),1
1914,C0033706,Prothrombin,en_1914,None,None,prothrombin (Usagi match score=1),1
1915,C0033727,Protons,en_1915,None,None,Protons (Usagi match score=1),1
1916,C0033774,Pruritus,en_1916,None,None,Pruritus (Usagi match score=1),1
1917,C0033809,Pseudomonas aeruginosa,en_1917,None,None,Pseudomonas aeruginosa (Usagi match score=1),1
1918,C0033860,Psoriasis,en_1918,None,None,Psoriasis (Usagi match score=1),1
1919,C0033872,Psychiatrist,en_1919,None,None,Psychiatric (Usagi match score=0.923651755),0.923651755
1920,C0033908,Psychologist,en_1920,None,None,Psychologic (Usagi match score=0.872337222),0.872337222
1921,C0033968,Psychotherapy,en_1921,None,None,Psychotherapy (Usagi match score=1),1
1922,C0033971,Group Psychotherapy,en_1922,None,None,Group Psychotherapy (Usagi match score=1),1
1923,C0033972,"Psychotherapy, Multiple",en_1923,None,None,Psychotherapy (Usagi match score=0.690838575),0.690838575
1924,C0033975,Psychotic Disorders,en_1924,None,None,Psychotic disorder (Usagi match score=0.961479604),0.961479604
1925,C0033978,Psychotropic Drugs,en_1925,None,None,Psychotropic drug use (Usagi match score=0.807978809),0.807978809
1926,C0034022,Public Health Nurses,en_1926,None,None,Public Health (Usagi match score=0.749715984),0.749715984
1927,C0034052,Pulmonary artery structure,en_1927,None,None,Pulmonary artery structure (Usagi match score=1),1
1928,C0034057,Pulmonary Circulation,en_1928,None,None,Disorder of pulmonary circulation (Usagi match score=0.836868405),0.836868405
1929,C0034063,Pulmonary Edema,en_1929,None,None,Pulmonary edema (Usagi match score=1),1
1930,C0034065,Pulmonary Embolism,en_1930,None,None,Pulmonary embolism (Usagi match score=1),1
1931,C0034068,Pulmonary Eosinophilia,en_1931,None,None,Eosinophilic asthma (Usagi match score=1),1
1932,C0034069,Pulmonary Fibrosis,en_1932,None,None,Fibrosis of lung (Usagi match score=1),1
1933,C0034071,Pulmonary Gas Exchange,en_1933,None,None,Pulmonary (Usagi match score=0.609508157),0.609508157
1934,C0034079,Lung nodule,en_1934,None,None,Nodule of lung (Usagi match score=0.740251839),0.740251839
1935,C0034085,Pulmonary Surfactants,en_1935,None,None,Pulmonary surfactant test (Usagi match score=0.878294349),0.878294349
1936,C0034088,Pulmonary Valve Insufficiency,en_1936,None,None,Pulmonic valve regurgitation (Usagi match score=1),1
1937,C0034091,Pulmonary Veno-Occlusive Disease,en_1937,None,None,Pulmonary veno-occlusive disease (Usagi match score=1),1
1938,C0034107,Pulse taking,en_1938,None,None,Pulse taking (Usagi match score=1),1
1939,C0034117,Puncture procedure,en_1939,None,None,Puncture procedure (Usagi match score=1),1
1940,C0034155,"Purpura, Thrombotic Thrombocytopenic",en_1940,None,None,Thrombotic thrombocytopenic purpura (Usagi match score=0.887250483),0.887250483
1941,C0034261,Pyridostigmine,en_1941,None,None,pyridostigmine (Usagi match score=1),1
1942,C0034284,Pyrimidine,en_1942,None,None,Pyrimidine (Usagi match score=1),1
1943,C0034362,Q Fever,en_1943,None,None,Q fever (Usagi match score=1),1
1944,C0034386,Quarantine,en_1944,None,None,Quarantine (Usagi match score=1),1
1945,C0034392,Quercetin,en_1945,None,None,quercetin (Usagi match score=1),1
1946,C0034428,Quinolones,en_1946,None,None,Quinone (Usagi match score=0.695421815),0.695421815
1947,C0034493,Oryctolagus cuniculus,en_1947,None,None,Oryctolagus cuniculus (Usagi match score=1),1
1948,C0034494,Rabies,en_1948,None,None,Rabies (Usagi match score=1),1
1949,C0034496,Rabies Vaccines,en_1949,None,None,Administration of rabies vaccine (Usagi match score=0.921158493),0.921158493
1950,C0034500,Raccoons,en_1950,None,None,Procyon lotor (Usagi match score=0.940165937),0.940165937
1951,C0034510,Racial group,en_1951,None,None,Social group (Usagi match score=0.803893983),0.803893983
1952,C0034519,Electromagnetic Energy,en_1952,None,None,Electromagnetic energy therapy (Usagi match score=0.844710946),0.844710946
1953,C0034530,Radiation Injuries,en_1953,None,None,Radiation injury (Usagi match score=0.80424124),0.80424124
1954,C0034538,Ionizing radiation,en_1954,None,None,Ionizing radiation (Usagi match score=1),1
1955,C0034541,Radiation-Sensitizing Agents,en_1955,None,None,Radiosensitizing measure (Usagi match score=0.471631825),0.471631825
1956,C0034618,Radiation therapy,en_1956,None,None,Radiation therapy (Usagi match score=1),1
1957,C0034640,Rain,en_1957,None,None,Rain (Usagi match score=1),1
1958,C0034693,Rattus norvegicus,en_1958,None,None,Rattus norvegicus (Usagi match score=1),1
1959,C0034715,"Rats, Sprague-Dawley",en_1959,None,None,Sprague-Dawley rat (Usagi match score=0.856679142),0.856679142
1960,C0034754,Reading,en_1960,None,None,Reading (Usagi match score=1),1
1961,C0034771,Recanalization,en_1961,None,None,Recanalization (Usagi match score=1),1
1962,C0034786,Androgen Receptor,en_1962,None,None,Androgen receptor (Usagi match score=1),1
1963,C0034787,Angiotensin Receptor,en_1963,None,None,Angiotensin receptor (Usagi match score=1),1
1964,C0034789,"Receptors, Antigen, B-Cell",en_1964,None,None,B-cell antigen receptor (Usagi match score=0.715597153),0.715597153
1965,C0034790,T-Cell Receptor,en_1965,None,None,T-cell antigen receptor (Usagi match score=0.843103766),0.843103766
1966,C0034800,"Receptors, Cell Surface",en_1966,None,None,Receptor site alteration (Usagi match score=0.598413527),0.598413527
1967,C0034801,Opioid Receptor,en_1967,None,None,Opioid receptor agonist (Usagi match score=0.782886982),0.782886982
1968,C0034802,Epidermal Growth Factor Receptor,en_1968,None,None,Epidermal growth factor receptor gene (Usagi match score=0.952994764),0.952994764
1969,C0034804,Estrogen Receptors,en_1969,None,None,Estrogen receptor (Usagi match score=0.929512858),0.929512858
1970,C0034805,Fc Receptor,en_1970,None,None,Fc receptor (Usagi match score=1),1
1971,C0034809,Glucocorticoid Receptor,en_1971,None,None,Glucocorticoid receptor (Usagi match score=1),1
1972,C0034813,Histamine Receptor,en_1972,None,None,Histamine receptor (Usagi match score=1),1
1973,C0034817,"Receptors, Immunologic",en_1973,None,None,Immunologic receptor (Usagi match score=0.761838377),0.761838377
1974,C0034819,Interleukin 2 Receptor,en_1974,None,None,IL22RA1 (interleukin 22 receptor subunit alpha 1) gene variant measurement (Usagi match score=0.91728586),0.91728586
1975,C0034821,Low Density Lipoprotein Receptor,en_1975,None,None,LDL receptor (Usagi match score=1),1
1976,C0034826,Muscarinic Acetylcholine Receptor,en_1976,None,None,Cholinergic receptor (Usagi match score=0.836471498),0.836471498
1977,C0034838,serotonin receptor,en_1977,None,None,Serotonin receptor (Usagi match score=1),1
1978,C0034839,Growth Hormone Receptor,en_1978,None,None,Growth hormone receptor absent (Usagi match score=0.899905741),0.899905741
1979,C0034848,"Receptors, Virus",en_1979,None,None,Virus receptor (Usagi match score=0.674755692),0.674755692
1980,C0034850,Endosomes,en_1980,None,None,Mesosome (Usagi match score=0.657565355),0.657565355
1981,C0034861,Recombinant Proteins,en_1981,None,None,Recombinant protein (Usagi match score=0.970675766),0.970675766
1982,C0034862,"Vaccines, Recombinant",en_1982,None,None,zoster vaccine recombinant (Usagi match score=0.721792459),0.721792459
1983,C0034865,"Recombination, Genetic",en_1983,None,None,Genetic recombination (Usagi match score=0.803538799),0.803538799
1984,C0034872,Recreation,en_1984,None,None,Construction - action (Usagi match score=0.707128286),0.707128286
1985,C0034927,Patient referral,en_1985,None,None,Patient referral (Usagi match score=1),1
1986,C0034945,Reflexology,en_1986,None,None,Reflexology (Usagi match score=1),1
1987,C0034961,Refugees,en_1987,None,None,Refugee (Usagi match score=0.920709312),0.920709312
1988,C0034963,Natural regeneration,en_1988,None,None,Regeneration (Usagi match score=0.775638282),0.775638282
1989,C0034991,Rehabilitation therapy,en_1989,None,None,Rehabilitation therapy (Usagi match score=1),1
1990,C0034997,Rehydration,en_1990,None,same_as Substance,Rehydration therapy (Usagi match score=0.779921114),0.779921114
1991,C0035021,Relapsing Fever,en_1991,None,None,Relapsing fever (Usagi match score=1),1
1992,C0035028,Relaxation,en_1992,None,None,Relaxation (Usagi match score=1),1
1993,C0035029,Relaxation Techniques,en_1993,None,None,Relaxation technique (Usagi match score=0.959093571),0.959093571
1994,C0035078,Kidney Failure,en_1994,None,None,Has a medical person ever told you that you had kidney failure [PhenX] (Usagi match score=0.880431354),0.880431354
1995,C0035094,Renin,en_1995,None,None,Reninge (Usagi match score=0.802877128),0.802877128
1996,C0035096,Renin-Angiotensin System,en_1996,None,None,Renin-angiotensin system inhibitor (Usagi match score=0.794989884),0.794989884
1997,C0035110,Repeat Surgery,en_1997,None,None,Repeat surgery (Usagi match score=1),1
1998,C0035124,Reperfusion Therapy,en_1998,None,None,Perfusion (Usagi match score=0.722871602),0.722871602
1999,C0035126,Reperfusion Injury,en_1999,None,None,Ischemic reperfusion injury (Usagi match score=0.836891532),0.836891532
2000,C0035139,Surgical Replantation,en_2000,None,None,Reimplantation - action (Usagi match score=0.737549245),0.737549245
2001,C0035150,Reproduction,en_2001,None,None,Reproductive (Usagi match score=0.887515485),0.887515485
2002,C0035173,Research Personnel,en_2002,None,None,Personnel Organization (Usagi match score=0.701090753),0.701090753
2003,C0035191,"Resins, Plant",en_2003,None,None,Intraocular lens implant (Usagi match score=0.441982508),0.441982508
2004,C0035203,Respiration,en_2004,isa(infered) Respiratory process,None,Breathing process (Usagi match score=1),1
2005,C0035204,Respiration Disorders,en_2005,None,None,Disorder of respiratory system (Usagi match score=0.73986429),0.73986429
2006,C0035205,"Respiration, Artificial",en_2006,None,None,Artificial respiration (Usagi match score=0.828411162),0.828411162
2007,C0035208,"Respirators, Air-Purifying",en_2007,None,None,Air-purifying respirator (Usagi match score=0.868032336),0.868032336
2008,C0035213,Pulmonary Ventilation,en_2008,None,None,Pulmonary ventilation study (Usagi match score=0.808776975),0.808776975
2009,C0035220,"Respiratory Distress Syndrome, Newborn",en_2009,None,None,Respiratory distress syndrome in the newborn (Usagi match score=0.898573041),0.898573041
2010,C0035222,"Respiratory Distress Syndrome, Adult",en_2010,None,None,Acute respiratory distress syndrome (Usagi match score=0.857718229),0.857718229
2011,C0035228,Respiratory Hypersensitivity,en_2011,None,None,Upper respiratory tract hypersensitivity reaction (Usagi match score=0.780485809),0.780485809
2012,C0035229,Respiratory Insufficiency,en_2012,None,None,Respiratory insufficiency (Usagi match score=1),1
2013,C0035230,Respiratory Mechanics,en_2013,None,None,Mechanical ventilator (Usagi match score=0.793163121),0.793163121
2014,C0035236,Respiratory syncytial virus,en_2014,None,None,Respiratory syncytial virus (Usagi match score=1),1
2015,C0035239,Respiratory Therapy,en_2015,None,None,Respiratory therapy (Usagi match score=1),1
2016,C0035242,Respiratory Tract Diseases,en_2016,None,None,Respiratory disease (Usagi match score=0.807627797),0.807627797
2017,C0035243,Respiratory Tract Infections,en_2017,None,None,Respiratory tract infection (Usagi match score=0.96891737),0.96891737
2018,C0035245,Respiratory physiology,en_2018,None,None,Respiratory physiology (Usagi match score=1),1
2019,C0035253,Rest,en_2019,None,None,Rest (Usagi match score=1),1
2020,C0035273,Resuscitation,en_2020,None,None,Resuscitation (Usagi match score=1),1
2021,C0035309,Retinal Diseases,en_2021,None,None,Retinal disorder (Usagi match score=0.930615842),0.930615842
2022,C0035328,Retinal Vein Occlusion,en_2022,None,None,Thrombosis of retinal vein (Usagi match score=1),1
2023,C0035331,Retinaldehyde,en_2023,None,None,retinaldehyde (Usagi match score=1),1
2024,C0035333,Retinitis,en_2024,None,None,Retinitis (Usagi match score=1),1
2025,C0035339,Retinoids,en_2025,None,None,Carotinoid (Usagi match score=0.737836957),0.737836957
2026,C0035366,Retroviridae,en_2026,None,None,Astroviridae (Usagi match score=0.879946232),0.879946232
2027,C0035379,RNA-Directed DNA Polymerase,en_2027,None,None,Deficiency of DNA-directed DNA polymerase (Usagi match score=0.813795686),0.813795686
2028,C0035435,Rheumatism,en_2028,None,None,Rheumatism (Usagi match score=1),1
2029,C0035436,Rheumatic Fever,en_2029,None,None,Rheumatic fever (Usagi match score=1),1
2030,C0035455,Rhinitis,en_2030,None,None,Rhinitis (Usagi match score=1),1
2031,C0035499,Rhodopsin,en_2031,None,None,Rhodopsin (Usagi match score=1),1
2032,C0035525,Ribavirin,en_2032,isa(infered) antiviral nucleoside analog,None,ribavirin (Usagi match score=1),1
2033,C0035527,Riboflavin,en_2033,None,None,riboflavin (Usagi match score=1),1
2034,C0035542,Ribonucleases,en_2034,None,None,ribonuclease (Usagi match score=0.949716687),0.949716687
2035,C0035546,Ribonucleosides,en_2035,None,None,Ribonucleoside (Usagi match score=0.970185637),0.970185637
2036,C0035553,Ribosomes,en_2036,None,None,Ribosome (Usagi match score=0.926259279),0.926259279
2037,C0035579,Rickets,en_2037,None,None,Rickets (Usagi match score=1),1
2038,C0035608,Rifampin,en_2038,None,None,rifampin (Usagi match score=1),1
2039,C0035648,risk factors,en_2039,None,None,Risk factors (Usagi match score=1),1
2040,C0035668,RNA,en_2040,None,None,RNA (Usagi match score=1),1
2041,C0035681,DNA-Directed RNA Polymerase,en_2041,None,None,Deficiency of DNA-directed RNA polymerase (Usagi match score=0.819589376),0.819589376
2042,C0035685,RNA-Directed RNA Polymerase,en_2042,None,None,Deficiency of DNA-directed RNA polymerase (Usagi match score=0.785587788),0.785587788
2043,C0035690,RNA Virus Infections,en_2043,None,None,Infection caused by Lassa virus (Usagi match score=0.77410531),0.77410531
2044,C0035691,RNA Viruses,en_2044,None,None,RNA virus (Usagi match score=0.879398048),0.879398048
2045,C0035693,"RNA, Double-Stranded",en_2045,None,None,Double stranded anti DNA antibody (Usagi match score=0.655906379),0.655906379
2046,C0035696,"RNA, Messenger",en_2046,None,None,Messenger (Usagi match score=0.690398216),0.690398216
2047,C0035711,Transfer RNA,en_2047,None,None,Transfer RNA (Usagi match score=1),1
2048,C0035736,"RNA, Viral",en_2048,None,None,Viral meningitis (Usagi match score=0.4039689),0.4039689
2049,C0035870,Rotavirus,en_2049,None,None,Rotavirus (Usagi match score=1),1
2050,C0035920,Rubella,en_2050,None,None,Rubella (Usagi match score=1),1
2051,C0035924,Rubella virus,en_2051,None,None,rubella virus (Usagi match score=1),1
2052,C0035953,Running,en_2052,None,None,Running (Usagi match score=1),1
2053,C0036001|6296,S-Adenosylhomocysteine|ACSM3,en_2053,None,None,AHCY (adenosylhomocysteinase) gene variant measurement (Usagi match score=0.631236255),0.631236255
2054,C0036002,S-Adenosylmethionine,en_2054,None,None,S-adenosylmethionine (Usagi match score=1),1
